Deciles,prob,prob,actual,actual,actual
9,0.9988607571204612,0.3955907458990052,189,100,289
8,0.39479769964571276,0.14659381401374422,92,196,288
7,0.14488814716322088,0.05516471657922164,36,252,288
6,0.05492239807770305,0.028527597415006777,7,281,288
5,0.0284684508376443,0.018723119268920882,3,285,288
4,0.018676876538468112,0.013421513620925678,1,288,289
3,0.013388186251071592,0.010157927611668777,1,279,280
2,0.01013262092084718,0.007246858535845127,0,295,295
1,0.007229303897569673,0.004283964052928537,0,288,288
0,0.004257324517771379,0.0002226054626794288,0,290,290
